tmdbId,type,Name,Budget,Revenue,Original_Lang,Runtime,Adult,Actor_1,Actor_2,Director
28120,movie,Crossfire,250000,1300000,en,86,FALSE,Robert Young,Robert Mitchum,Edward Dmytryk
252,movie,Willy Wonka & the Chocolate Factory,3000000,4000000,en,99,FALSE,Gene Wilder,Peter Ostrum,Mel Stuart
16372,movie,The Innocents,0,1200000,en,100,FALSE,Deborah Kerr,Peter Wyngarde,Jack Clayton
11561,movie,Sleeper,2000000,18344729,en,87,FALSE,Woody Allen,Diane Keaton,Woody Allen
11302,movie,Bananas,2000000,11833696,en,82,FALSE,Woody Allen,Louise Lasser,Woody Allen
623,movie,A Fish Called Wanda,7500000,62493712,en,109,FALSE,Jamie Lee Curtis,John Cleese,Charles Crichton
583,movie,Life of Brian,4000000,20700000,en,94,FALSE,Graham Chapman,John Cleese,Terry Jones
12614,movie,Victor/Victoria,15000000,28215453,en,134,FALSE,Julie Andrews,James Garner,Blake Edwards
21711,movie,The Candidate,1600000,2500000,en,110,FALSE,Robert Redford,Peter Boyle,Michael Ritchie
11575,movie,The Great Race,12000000,25300000,en,160,FALSE,Jack Lemmon,Tony Curtis,Blake Edwards
475,movie,Bonnie and Clyde,2500000,50700000,en,111,FALSE,Warren Beatty,Faye Dunaway,Arthur Penn
11331,movie,The Old Man and the Sea,0,0,en,86,FALSE,Spencer Tracy,Felipe Pazos,John Sturges
521,movie,Dial M for Murder,1400000,3000000,en,105,FALSE,Ray Milland,Grace Kelly,Alfred Hitchcock
88,movie,Dirty Dancing,6000000,214577242,en,100,FALSE,Jennifer Grey,Patrick Swayze,Emile Ardolino
500,movie,Reservoir Dogs,1200000,2859750,en,99,FALSE,Harvey Keitel,Tim Roth,Quentin Tarantino
792,movie,Platoon,6000000,138530565,en,120,FALSE,Charlie Sheen,Willem Dafoe,Oliver Stone
8491,movie,Weekend at Bernie's,6500000,30218387,en,97,FALSE,Andrew McCarthy,Jonathan Silverman,Ted Kotcheff
402,movie,Basic Instinct,49000000,352927224,en,127,FALSE,Michael Douglas,Sharon Stone,Paul Verhoeven
10537,movie,The Doors,38000000,34416893,en,140,FALSE,Val Kilmer,Meg Ryan,Oliver Stone
11386,movie,The Crying Game,3705538,62548947,en,112,FALSE,Stephen Rea,Miranda Richardson,Neil Jordan
